
Проверка   | Статус | Комментарий
------------------+--------+--------------------------------
PostgreSQL         | OK     | SELECT 1 выполнен (docker exec)
Reports schema     | FAIL   | psql: error: connection to server on socket "/var/run/postgresql/.s.PGSQL.5432" failed: FATAL:  role "reports" does not exist
Redis              | OK     | PING → PONG (docker exec)
Consul             | OK     | Лидер: true (docker exec)
RabbitMQ UI        | OK     | Нода запущена (rabbitmq-diagnostics)
Gateway REST       | WARN   | Сервис gateway не запущен (профиль backend отключён?)
Gateway SSE        | WARN   | Сервис gateway не запущен (профиль backend отключён?)
Auth API           | FAIL   | 000curl: (28) Operation timed out after 5009 milliseconds with 0 bytes received
CRM API            | FAIL   | 000curl: (28) Failed to connect to localhost port 8082 after 2002 ms: Timeout was reached
Documents API      | FAIL   | 000curl: (28) Failed to connect to localhost port 8084 after 2016 ms: Timeout was reached
Notifications REST | FAIL   | 000curl: (28) Failed to connect to localhost port 8085 after 2010 ms: Timeout was reached
Notifications SSE  | FAIL   | 
Tasks API          | FAIL   | 000curl: (28) Failed to connect to localhost port 8086 after 2008 ms: Timeout was reached
Reports API        | WARN   | Недоступен: 000curl: (7) Failed to connect to localhost port 8087 after 2248 ms: Couldn't connect to server
Backup API         | WARN   | Недоступен: 000curl: (7) Failed to connect to localhost port 8094 after 2257 ms: Couldn't connect to server
Backup env         | FAIL   | Error response from daemon: Container f62b91cb6f4d33d4a42c106212208b90936cefba1bc4d2b4de821884cb428cb2 is restarting, wait until the container is running
