
Проверка   | Статус | Комментарий
------------------+--------+--------------------------------
PostgreSQL         | OK     | SELECT 1 выполнен (docker exec)
Reports schema     | FAIL   | psql: error: connection to server on socket "/var/run/postgresql/.s.PGSQL.5432" failed: FATAL:  role "reports" does not exist
Redis              | OK     | PING → PONG (docker exec)
Consul             | OK     | Лидер: true (docker exec)
RabbitMQ UI        | OK     | Нода запущена (rabbitmq-diagnostics)
Gateway REST       | WARN   | Сервис gateway не запущен (профиль backend отключён?)
Gateway SSE        | WARN   | Сервис gateway не запущен (профиль backend отключён?)
Auth API           | FAIL   | 000curl: (52) Empty reply from server
CRM API            | FAIL   | 000curl: (28) Failed to connect to localhost port 8082 after 2012 ms: Timeout was reached
Documents API      | FAIL   | 000curl: (28) Failed to connect to localhost port 8084 after 2014 ms: Couldn't connect to server
Notifications REST | FAIL   | 000curl: (28) Failed to connect to localhost port 8085 after 2012 ms: Timeout was reached
Notifications SSE  | FAIL   | 
Tasks API          | FAIL   | 000curl: (28) Failed to connect to localhost port 8086 after 2012 ms: Timeout was reached
Reports API        | WARN   | Недоступен: 000curl: (7) Failed to connect to localhost port 8087 after 2249 ms: Couldn't connect to server
Backup API         | WARN   | Недоступен: 000curl: (52) Empty reply from server
Backup env         | WARN   | S3-креды не заданы, используется DummyStorage; опциональные переменные пусты: BACKUP_CONSUL_TOKEN BACKUP_REDIS_PASSWORD
